Company,Careers,Contact
Cisco UK,https://jobs.cisco.com/jobs/SearchJobs/?3_109_3=3128,https://www.cisco.com/c/en_uk/about/contact-cisco.html
Atlassian (UK),https://www.atlassian.com/company/careers/all-jobs#location=London%2C%20United%20Kingdom,https://www.atlassian.com/company/contact
ServiceNow (UK),https://careers.servicenow.com/en/jobs/?location=London%2C%20United%20Kingdom,https://www.servicenow.com/company/contact-us.html
Snowflake (UK),https://careers.snowflake.com/us/en/search-results?keywords=&p=ChIJdd4hrwug2EcRmSrV3Vo6llI,https://www.snowflake.com/en/contact/
Databricks (UK),https://www.databricks.com/company/careers/open-positions?location=London,https://www.databricks.com/company/contact
MongoDB (UK),https://www.mongodb.com/careers/locations/london,https://www.mongodb.com/contact
Elastic (UK),https://www.elastic.co/about/careers,https://www.elastic.co/contact
HashiCorp (UK),https://www.hashicorp.com/careers/openings?location=London%2C%20United%20Kingdom,https://www.hashicorp.com/contact
Cloudflare (UK),https://www.cloudflare.com/careers/jobs/?location=London,https://www.cloudflare.com/help/
OpenAI (London),https://openai.com/careers,https://help.openai.com/en/
EPAM Systems (UK),https://www.epam.com/careers/job-listings?country=United%20Kingdom&city=London,https://www.epam.com/about/who-we-are/contact
Cognizant UK,https://careers.cognizant.com/uk/en,https://www.cognizant.com/gb/en/contact-us
Infosys UK,https://www.infosys.com/careers/uk.html,https://www.infosys.com/contact.html
HCLTech UK,https://www.hcltech.com/careers/careers-in-uk,https://www.hcltech.com/contact-us
Wipro UK,https://careers.wipro.com/careers-home/jobs?country=United%20Kingdom,https://www.wipro.com/contact-wipro/
TCS (Tata Consultancy Services) UK,https://www.tcs.com/careers/tcs-uk,https://www.tcs.com/contact-us
Thoughtworks (UK),https://www.thoughtworks.com/en-gb/careers/jobs?location=london,https://www.thoughtworks.com/en-gb/about-us/contact-us
Endava (UK),https://www.endava.com/Careers,https://www.endava.com/Contact
Globant (UK),https://www.globant.com/careers,https://www.globant.com/contact-us
Canonical (Ubuntu),https://canonical.com/careers,https://canonical.com/contact
Snyk (London),https://snyk.io/careers/open-roles/,https://snyk.io/contact-us/
Improbable,https://improbable.io/careers,https://improbable.io/contact
Thought Machine,https://www.thoughtmachine.net/careers,https://www.thoughtmachine.net/contact
Zopa,https://www.zopa.com/careers,https://www.zopa.com/contact
Funding Circle,https://www.fundingcircle.com/uk/careers/,https://www.fundingcircle.com/uk/contact-us/
SumUp,https://sumup.com/careers/locations/london/,https://help.sumup.com/en-GB/articles/1
Klarna (UK),https://www.klarna.com/careers/locations/london/,https://www.klarna.com/uk/customer-service/
"Stripe (EMEA HQ Dublin, London office)",https://stripe.com/jobs/search?office_locations%5B%5D=london,https://stripe.com/contact
Government Digital Service (GDS),https://www.gov.uk/government/organisations/government-digital-service/about/recruitment,https://www.gov.uk/government/organisations/government-digital-service/about/access-and-contacts
